County,all_crashes,inside_crashes,nm_crashes,inside_nm_crashes,outside_nm_crashes,school_age_nm_crashes,lat,lon,inside_nm_share_pct,school_age_nm_share_inside_nm_pct
Anne Arundel,18676,9818,634,432,202,66,39.08475859340946,-76.6173566601965,68.13880126182966,15.277777777777779
Baltimore City,29324,28244,2231,2210,21,384,39.30575136332833,-76.61677984027347,99.05871806364858,17.375565610859727
Baltimore County,38084,25058,1233,955,278,163,39.36265264895912,-76.62384260457439,77.45336577453365,17.06806282722513
Howard,8061,2913,198,103,95,22,39.21338604414886,-76.84849731196178,52.02020202020202,21.35922330097087
Montgomery,25367,17906,1366,1090,276,131,39.08013874053869,-77.11573363850046,79.79502196193266,12.018348623853212
Prince George's,38445,24328,1254,1015,239,105,38.90858157555024,-76.89239795259327,80.94098883572568,10.344827586206897
