lat_grid,lon_grid,nm_crashes,inside_nm_crashes,school_age_nm_crashes,counties,inside_nm_share_pct,school_age_nm_share_pct
38.975,-76.75,14,14,8,Prince George's,100.0,57.14285714285714
38.975,-76.72500000000001,6,6,2,Prince George's,100.0,33.33333333333333
38.975,-76.55,23,10,1,Anne Arundel,43.47826086956522,4.3478260869565215
38.975,-76.525,33,32,3,Anne Arundel,96.96969696969697,9.090909090909092
38.975,-76.5,26,26,2,Anne Arundel,100.0,7.6923076923076925
38.975,-76.47500000000001,7,7,0,Anne Arundel,100.0,0.0
39.0,-77.125,10,10,1,Montgomery,100.0,10.0
39.0,-77.10000000000001,20,17,2,Montgomery,85.0,10.0
39.0,-77.075,12,11,1,Montgomery,91.66666666666666,8.333333333333332
39.0,-77.05000000000001,21,20,0,Montgomery,95.23809523809523,0.0
39.0,-77.025,96,79,5,Montgomery,82.29166666666666,5.208333333333334
39.0,-77.0,39,39,3,"Montgomery, Prince George's",100.0,7.6923076923076925
39.0,-76.97500000000001,32,32,4,"Montgomery, Prince George's",100.0,12.5
39.0,-76.95,20,7,0,Prince George's,35.0,0.0
39.0,-76.92500000000001,28,19,1,Prince George's,67.85714285714286,3.571428571428571
39.0,-76.9,21,21,1,Prince George's,100.0,4.761904761904762
39.0,-76.875,9,8,2,Prince George's,88.88888888888889,22.22222222222222
39.0,-76.825,8,7,2,Prince George's,87.5,25.0
39.0,-76.75,3,3,0,Prince George's,100.0,0.0
39.0,-76.55,10,1,0,Anne Arundel,10.0,0.0
39.0,-76.525,7,0,0,Anne Arundel,0.0,0.0
39.0,-76.47500000000001,3,0,0,Anne Arundel,0.0,0.0
39.025000000000006,-77.15,11,4,0,Montgomery,36.36363636363637,0.0
39.025000000000006,-77.125,17,16,3,Montgomery,94.11764705882352,17.647058823529413
39.025000000000006,-77.10000000000001,14,6,0,Montgomery,42.857142857142854,0.0
39.025000000000006,-77.075,18,18,2,Montgomery,100.0,11.11111111111111
39.025000000000006,-77.05000000000001,32,32,5,Montgomery,100.0,15.625
